sample_id	g__Lactiplantibacillus	g__Ligilactobacillus	g__Lacticaseibacillus	g__Lactobacillus	g__Streptococcus	g__Enterococcus	g__Enterococcus_B	g__Listeria	g__Listeria_A	g__Staphylococcus	g__Bacillus	g__Bacillus_A	g__Paenibacillus	g__Streptomyces	g__Mycobacterium	g__Corynebacterium	g__Rhizobium	g__Brucella	g__Neisseria	g__Burkholderia	g__Acinetobacter	g__Pseudomonas	g__Pseudomonas_E	g__Serratia	g__Yersinia	g__Cronobacter	g__Enterobacter	g__Klebsiella	g__Escherichia	g__Citrobacter	g__Salmonella
1	1.616006921	2.231332524	2.179844384	1.631695663	2.039958854	2.826113155	1.561381749	1.519765706	1.693527046	1.599498766	1.59006008	1.754654653	1.777210007	2.49448772	1.534248041	1.833757618	1.542654516	4.553851769	1.819349561	1.506858492	1.612410275	82.28837725	1.837872728	2.341874228	2.058331423	1.5834979	1.768674747	1.879513997	1.585637189	1.948669228	1.577088871
2	4.977339796	1.59364705	1.941786128	1.619451244	1.664620599	2.539639202	1.942682435	1.549851122	1.640400959	5.508996304	1.629313044	1.528397359	2.201610486	2.063646752	2.339471852	3.662927965	1.529572593	1.516364539	1.702011097	1.671257514	1.827581396	2.216427855	2.056879607	1.926711791	1.509686789	1.57191837	1.546795812	1.514512755	2.425679483	1.566819106	1.783095985
3	10.66492174	1.859164063	1.975988782	1.501486013	2.548040908	2.176954555	4.085487988	1.771477608	1.511255071	2.06505946	1.571224498	1.575587868	2.258076684	1.503049556	2.640108103	1.506189679	1.622984436	1.505613971	1.705810947	2.422892996	1.517207016	2.225378444	4.483220206	1.543033581	2.174299649	1.54628599	2.280071082	1.992682664	1.872918318	1.684323548	1.587449881
4	2.306533366	1.527624147	2.215677674	1.609880178	1.691739786	1.838916973	2.074190712	1.635435515	2.434976637	1.943503539	1.550872086	2.274619088	1.662717406	1.660776315	2.934976361	2.478896004	1.557829534	1.507613737	1.801394368	2.169707383	1.931970727	2.174754707	1.969777177	2.283515814	1.622456294	1.781971806	2.17984509	1.537507423	1.658385102	1.587518406	1.549160572
5	1.508902792	1.640457791	1.575705729	1.773597237	1.672352113	1.511635819	2.355773301	1.549091273	2.179975754	1.952287719	1.584539015	1.612059478	1.749348842	2.193671439	10.12812467	1.678660238	1.658177127	1.501253508	1.562467142	1.524546354	1.579469922	51.06905465	1.592645422	1.770213144	2.038909005	1.575052901	1.557594127	1.519355213	1.784595304	1.562304826	1.531171748
6	2.197202145	2.172418152	1.564737121	2.307871534	1.672805792	1.655053829	1.724027239	1.623565936	2.045845268	3.945589655	1.660352617	1.517975043	1.904958089	1.681532899	3.22502238	8.585853172	1.595539326	1.506865182	2.548880063	1.563749974	1.997355369	1.558313038	1.896376234	1.820669377	2.33145936	1.985795208	1.820130338	1.846145208	1.640669903	2.559943847	1.512070983
7	1.629649032	1.786978551	1.766931182	2.596603004	1.752635764	1.750177058	1.576666935	1.844982833	1.71958832	1.555358148	1.751929063	1.691856796	2.077780824	1.749955332	2.215323806	1.672197072	1.536860565	3.153851906	1.725733851	1.798251216	1.661500757	1.511883165	1.727272505	1.953043387	2.285525495	2.40741752	3.007747425	1.587606414	2.062769791	1.76673629	1.593671935
8	1.820560871	1.7389791	1.778378728	3.121653756	2.445430681	1.984551851	1.764996559	1.537337742	1.509541419	1.530271431	1.754050839	2.067681895	1.852724388	1.752368533	2.252155529	1.763579847	2.26257115	1.606805326	2.115675112	1.846980626	2.66190936	1.509034792	1.779635054	1.74644602	2.42260306	2.678480782	2.175479151	1.550270229	3.113945354	1.770269973	1.539208148
9	1.70371416	1.648016193	2.59779327	3.428657323	1.955005294	2.359723915	2.472016578	1.800036109	1.507561959	1.735614389	1.752564189	3.762676628	1.792617963	1.936310032	2.481084804	2.137080413	1.506156434	1.597886836	1.522247821	1.9534665	1.85533183	1.538647202	1.794188002	2.053410139	1.575677176	2.130399911	2.260224111	1.527837728	3.107783378	1.555593427	1.501104965
10	2.055025604	1.61530919	1.600634007	4.45040543	3.002935596	1.925385988	1.657118359	1.529494623	2.262560796	1.559297509	3.415695422	1.532409348	1.870152349	1.823934291	3.120397451	1.576986523	1.783302064	1.579428904	1.657659203	1.682932264	1.671180509	1.551472561	1.565052632	2.915056117	1.730510488	1.562744118	3.202586743	1.591972409	1.652505883	1.649145049	1.504241599
11	2.110678298	1.546026651	1.7684639	2.100555823	1.596840846	1.932306497	1.626659542	1.640007359	1.847663774	1.56857782	1.697195921	1.903324246	8.42978096	2.702420772	2.566208618	3.261263641	3.209297538	1.643372879	1.535348715	1.870760232	1.662601456	2.403238025	1.62375846	1.793308994	1.652980097	1.579884257	1.564803725	1.500141287	2.619640948	2.239374498	1.662030195
12	1.699942837	1.916332112	1.919254769	2.048559075	1.839549931	2.086122975	2.038179069	1.635374614	1.666204015	2.047558616	2.502609071	5.904542182	2.792584222	1.94587492	2.097125608	1.928687342	1.561014182	1.618024302	1.699823329	1.624019143	1.66562557	1.631780466	1.525535578	2.389162957	1.815570535	1.53103256	1.670077497	1.710463917	1.547795561	1.564704753	1.511351967
13	1.553207564	1.724233838	1.552369928	1.846425515	1.868898267	1.841649775	1.522234705	1.521758923	1.849258352	1.94275972	1.559475752	1.629625576	5.255083225	1.625567637	1.712926542	1.675415279	1.787226754	1.618110254	1.643565309	1.549356417	1.877982888	1.532149956	1.550735365	1.790242695	2.622724145	1.902160966	1.516443717	1.687827832	1.690628805	1.619712532	1.51045922
14	1.747649514	1.876544201	1.873133949	7.79886751	2.270289538	1.686989431	1.525412875	1.762939655	1.742519104	1.64613455	1.523638709	1.508374418	2.488392487	1.699726295	1.698898997	1.605783934	1.540229596	1.562388654	1.630116783	1.596903045	1.73306049	1.506820475	1.662308738	1.518927078	1.590153854	3.983668125	1.619031004	1.575700686	1.814541192	1.639817712	1.577341364
15	1.63587024	1.705687131	2.065975777	1.850102111	1.880147396	1.646349085	1.685120696	1.624635748	1.618569821	1.589145531	2.319508391	3.806071488	1.602748949	1.519260092	7.879735748	1.929053602	1.776047334	1.939812954	1.557116791	1.646310385	1.528111205	1.711390027	1.835693416	2.252700153	1.948841536	6.084328045	1.618970893	2.213430949	1.748264269	2.272421605	1.689728917
16	2.041544232	2.301274281	1.524280498	2.708643112	1.675610338	1.670992314	6.713683578	1.542443832	1.510665519	2.323255934	2.145121676	1.553698729	1.51724929	1.57612267	2.58432046	1.633419643	1.590606324	2.033517167	2.525215695	1.619743189	1.550235745	1.614647977	1.603797464	2.865683001	2.213432013	1.527931124	1.652191472	1.885483252	2.248960964	1.558870449	1.613743086
17	1.864149934	2.49423272	1.518000956	1.721958961	2.490105714	2.183909718	2.323543312	1.50322928	1.717783366	1.746333714	1.593799365	1.576428597	2.954989413	1.51583482	4.230219652	1.834240015	1.821271776	1.890719896	1.752722965	1.695242389	10.21602698	1.675819679	1.502675566	1.761973499	2.137058503	1.597957651	1.696763573	1.551185598	1.70062308	1.527612169	1.537128366
18	2.419868364	2.720665321	1.537325338	2.240659461	1.513948048	1.596788117	1.703106801	1.716054465	2.618904236	2.633617418	1.795044309	1.672892206	4.330286031	1.560842998	1.67606516	1.820823984	1.61119358	1.772517351	1.777734868	1.600079201	1.594370315	1.603954981	1.798520213	2.003855603	1.996711163	1.762766209	1.793249774	1.581982374	3.142801223	3.153536994	2.121429182
19	1.840743457	10.79058017	1.701428387	1.765103562	4.042665525	1.505518153	1.582532883	1.717730256	1.665791056	1.756827745	1.684609628	1.601963587	2.731879212	1.506096332	2.545611819	2.448318597	1.59297555	2.011427785	2.331322675	1.868525904	2.076794068	1.993106256	2.600650835	1.627515359	1.540732878	1.701956072	2.730389306	1.978884947	2.684662684	1.807547297	1.511338363
20	1.813590737	2.066275905	9.417216168	1.714928186	1.921414203	1.642820528	1.85176426	1.763513371	1.695679173	3.209770402	1.782120928	1.886644266	3.643625984	1.885414465	1.70280211	2.115654392	1.547231347	1.824419569	2.748215953	1.598780678	2.433653097	2.035052216	2.86884709	3.215848214	2.137874289	2.403126191	1.504888886	1.539095674	1.526951674	2.743973882	1.992900483
21	1.663929318	3.521919646	1.676688356	1.556846924	2.104986616	1.676292122	1.754464168	1.679020862	2.394514132	1.603902443	1.51080942	1.647121664	1.588668212	1.511752698	1.684425931	5.319257516	1.748651262	1.998653521	1.802090417	1.598917345	1.512791379	2.164787004	1.69202156	1.963743996	1.784318267	1.533145612	2.167207624	2.019795872	5.040038979	1.582291957	2.358818717
22	2.489230567	1.870033854	1.618939402	2.149860496	1.593716278	1.616325623	2.235274546	1.727997894	1.578758545	1.562525226	2.341485283	1.612216428	1.563733103	1.501373466	1.54972998	1.592160562	1.571926431	1.55280706	1.7570319	1.55651606	1.659997349	2.011739205	1.584250473	1.664730968	2.696184167	2.348541681	1.560018273	1.941536164	1.661904071	1.512097538	1.516042125
23	1.89733015	10.66498054		2.118741753	1.629859332	2.147769134	1.513519587	1.844348237	1.635119034	2.345673144	1.5707502	1.603721806	2.821559008	2.659120534	2.636061339	167.6111062	1.687853274	1.740823853	2.625201401	1.584926915	1.820319938	1.686056098	1.577108438	1.913664906		2.497312649	1.666415675	1.616139022	2.254211434	1.586753837	1.748189737
24	2.976012801	1.962459561		3.495184883	1.573629185	1.637611609	1.76348611	1.823571232	2.070821845	2.243081474	2.417476238	5.806000059	4.970956919	4.498354536	4.613114821		1.599293452	1.657460421	2.627410688	1.628830912	1.645641499	2.645170795		2.311627344		2.775967246	1.698008609	1.878203606	1.879583687	1.550014186	1.573129461
25		1.592624826		1.505477654	2.77483482	1.672831957	1.526803842	1.947521316	1.734585202	1.862679443	1.92483893	2.377470245	1.921678334	1.851943676	11.33668935		1.586223392	2.020929009	2.62815101	1.581095524	1.5842987	2.517651329		2.618853993		3.154287781	1.741525276	1.611770321	1.847959258	1.510254517	1.668181314
26				1.506095366	1.500381038	2.406461171	1.530037985	1.927982109	2.009633092	1.704342745	3.753608433	2.654126347	2.033983758	3.008116713	2.190631264		1.515824739	1.577047227	1.553349129	1.514303178	1.826249262	1.722704815		1.689326335		3.565647487	1.630033937	1.878765475	2.353231258	2.474051373	1.587600177
27				1.77869523	1.636386904	1.823602812	2.790180264	1.712080084		2.118220096	1.747719735	3.554180466	1.82340972	1.553754963	4.868626622		2.046161494	1.54358496	1.623620277	1.520627521	2.156518727	2.712114358		1.659269426		2.69381582	1.611377499	1.561371032	2.253338824	1.510168195	1.539963935
28				3.821098751	1.579108536	1.502609355	1.824389835	2.288722564		1.673575966	1.675096397	2.743313718		2.132713123	4.588865995		1.57678155	1.546721748	1.586316051	1.879569486	1.594068175	1.960506087		1.700321046		1.500379119	2.262595602	2.192935854	2.008334759	3.112930661	1.535385272
29					1.621108113	1.562278182	2.08786896	2.556976056		1.68215827	1.608085403	2.459283773		6.052155768	2.271226801		1.567338323	1.818081799	1.608989305	1.522302401	2.424104073	1.845842266		1.757614785		1.816221965	2.455970831	2.437912013	1.669251631	1.551427229	1.513200306
30					1.585693467	1.775956654		1.811678932		2.198840511	1.797952809	3.49717446		1.606286823	2.18889019		1.553110844	1.880524119	1.965792085	1.619788951	1.576290279	1.651538731		1.530893756		3.852718944	1.989820436	2.452245264	2.27182567	1.627942031	1.563612618
31					1.689565533	1.505006649		1.852491788		2.206806528	1.635288929	1.715354042		1.85995026	1.611431916			1.585070169	1.965388982	2.186540053	1.677071842	2.241915165		1.78898632		1.596128785	1.528376985	1.984393403	1.827903984	1.65296014	1.603936299
32					1.750538257	1.959805695		1.825634888		1.634087757		1.57127208		7.709872712	4.105631893			1.520041578	2.241266033	1.587073065	1.994304932	1.562746951		1.583657101		1.711223528	1.850393067	1.558331874	5.326266153	1.898261266	1.595655055
33					1.714145629	1.516764049		2.335204962		2.172034346		3.688290609		2.241790675	1.992910103			1.520194457	1.808474242	1.523490551	1.564868641	1.539500151		1.531089504		1.958085579	1.661022203	1.554275556	7.040220524	1.548751093	1.742992767
34					1.569066903	1.550246819		1.811680406		2.472377948		2.784886002		35.76609636	2.60657832			1.633755302	2.065271903	1.612352447	4.603500718	2.306032416		1.567832614		2.001073252	1.764680619	1.839616955	1.787338077	1.508117185	1.710299288
35					1.523686311	1.815478865		1.714399371		3.226871603		1.541954385		3.063415309	2.129656532			1.644688375	2.711875347	1.641077146	2.287692477	2.49515709		1.771503032		1.698361916	1.615778432	1.563004914	1.796453925	1.527605754	1.518377905
36					1.698824033	1.662462258		1.796939756		1.517985123		2.729193563		2.275802187	1.949576464			1.595706446	1.945909321	1.839560872	2.930020437	1.626162749		1.717633635		2.027028203	1.791214513	2.310246958	1.569747038	3.430765187	1.50286684
37					1.577587408	1.728394968		1.523924741		2.643982846		3.85684469		9.968932231	1.958642852			1.733146766	2.440456416	1.620373159	2.027142086	1.695460273		1.500160055		3.059635546	1.66032468	1.688511785	1.702895477	1.735962686	1.957273138
38					1.634914137	2.121095692		1.504162982		2.820091988		1.509738746		3.458116274	2.053356402			1.622114221	1.786296219	4.044138311	2.502755351	3.047811985		1.578731439		1.777645796	1.649856074	1.934556494	1.508103306	1.646951531	1.835920155
39					1.753939736	1.628268373		1.570542528		2.143610462		1.718423092		1.659967374	1.690390779			1.66067499	1.552565468	2.362889324	1.616722261	2.507852149		1.660662807		1.88925011	3.03588009	1.515971584	6.041186822	1.533031989	1.915314197
40					2.485850419	1.556163248		2.044903525		1.991775935		1.541303324			2.844501872			1.571009506	1.930989539	1.688439559	1.50998794	1.638922906		1.578815454		1.69141004	1.637867065	1.599698361	1.783116564	1.557375399	1.884343342
41					2.051034375	1.747103357		1.710011072		1.963339981		2.194635852			1.76076488			1.98754763	2.287779101	1.671283154	2.18984697	1.559768132		1.962865976		1.606174349	1.537631857	2.044903289	2.844950619	1.683054002	1.959935921
42					2.025430932	1.514329073		1.798672522		2.948915385		2.293094859			1.944382626			1.578714379	1.737462085	1.58746024	1.509051836	2.462303198		1.644394666		1.837195799	1.906754588	1.513636772	1.500902534	2.621435472	2.018002777
43					2.828535561	1.776053594		1.535259211		1.561065434		3.477102042			1.891912687			1.86045717	1.551872789	2.794701944	1.751784388	1.600699378		1.607304676		1.527009189	2.075881485	1.989621889	1.531605167	1.689624837	2.039835166
44					1.684287713	2.352105191		2.039145834		2.010543193		1.571965024			7.816236559			1.506900625	1.615337118	1.585952917	1.727508914	1.69095629		1.822193388		1.522035296	1.500176091	2.099805862	1.567231985	2.250915812	1.818196003
45					1.538402846	2.197155936		1.684619328		2.4996677		1.558103339			1.715721958			1.871142347	1.696856046	2.402636523	1.938201728	1.506807841		1.680190013		1.7417347	1.833951794	1.714640559	2.253983233	1.769855563	1.808548296
46					1.581506408	2.900148623		1.616403275		1.517917136		1.701118893			1.549127198			1.593660847	2.710884048	2.040595016	1.695070347	1.735068654		1.553673864		1.567446253	1.862816929	1.905560949	1.87492683	1.714450859	1.854044115
47					1.726058707	2.136709571		1.882146789		1.590130137		2.023195548			2.1790751			1.919886258	1.699878358	2.008972775	8.901990521	2.649865194		1.745423268		1.650377148	1.611586901	1.811367755	1.781350583	1.507256801	1.943501966
48					1.950883043	1.500925093		1.862088911		3.52127247		1.891108108			4.104353741			1.791582247	3.183871461	2.047846263	2.315195908	1.560555085		2.473610657		1.621726654	2.579905743	1.85248068	6.133286156	1.767324489	2.058606516
49					2.143755241			1.802492847		1.584762786		1.955708179			1.821613387			1.632163701	1.889933892	2.052809799	1.95175056	1.631510427		1.558271869			1.65131954	1.609145561	3.326156248	1.523221229	1.962261954
50					1.576161386			1.661263635		3.972487071		2.002889394			3.696403407			1.502424576	5.546626365	2.968840763	2.323971976	2.857804691		1.502016674			1.535859683	1.703850055	1.80645377	1.533588255	1.96092951
51					1.95398121			1.510930948		1.629866686		1.73267899			1.512670218			1.543129779	2.67104442	1.627755762	2.100339949	2.565545821		1.568817939			1.870630992	1.552581027	3.074109097	1.54775373	1.847516386
52					1.650004356			1.504545017		2.339599433		1.638516944			2.082348488			1.504207883	8.018082157	1.822759339	1.54860521	2.018117231		1.692802205			1.752809872	1.750995911	3.087613884	2.77900048	1.783968444
53					1.584945422			1.763908844		2.525710857					1.770260328			1.565601641		1.561481324	1.578969383	1.673923692		1.715407993			1.949474758	1.889270356	1.704877999	2.367526286	4.04469135
54					2.06038561			1.828494109		1.570107527					1.544038044			1.507455137		1.557630598	2.422280574	1.881315509		1.866348795			1.672645852	1.641462104	1.892479664	1.518518519	3.227222187
55					1.894736238			1.58382613		1.561624776					3.571218845			1.604561894		1.511998032	2.084218142	1.899265822		1.953726341			1.517871822	2.256919609	2.437461667	1.714192247	2.22105711
56					1.53361834			1.638132091		1.531660366					1.77449579			1.84768864		1.715518486	3.196821196	5.292189026		1.50855994			1.629344832	1.661762545	1.588089814	1.643692846	2.061566649
57					1.61795886			1.737865895		1.620461436					1.520491652			1.623318431		1.926954939	1.59079607	2.041092194		1.708944809			1.726473607	1.714144321	1.757930537	1.821725154	1.802696585
58					1.556764247			2.02788062		1.563360918					1.797857621			1.604132677		1.540521524	1.622876372	1.912656958		2.130136598			1.700234115	1.992518789	1.98511137	1.598283567	1.909790072
59					2.265827601			1.702002711		1.747721473					1.535564974			1.515603644		1.566726405	1.734138539	2.351640965		2.210971973			1.782048436	1.595545714	1.904148709	1.817173512	1.658343889
60					1.674728096			3.820274184		1.637665829					1.941774556			1.543816375		1.630276448	2.43104082	1.531706343		1.749934295			1.645137401	1.658823834	2.855556406	1.555754112	1.861333727
61					1.920077292			4.37991442		1.788109013					2.117383391					1.828041814	1.535088886	2.024901016		1.702388488			2.552051891	2.140068897	1.64345142	2.668473218	1.910448928
62					1.757390809			3.858462508		1.870129437					3.993300394					1.744871859	2.61264198	1.742566778		2.103396322			3.801658064	2.259573082	1.517704871	1.722667408	1.989409634
63					2.668914725			4.929443184		1.854083721					1.817064814					1.646292138	1.588603727	2.081078351		2.041650842			1.743055929	1.526169344	1.952280977	2.196296216	1.573721039
64					2.73784335			1.911476022		1.657935124					2.377390301					1.596284906	3.911771122	1.779717438					1.838505038	1.562950725	1.585973831	1.983235515	1.776217689
65					1.852203061			1.870173376		1.521056067					1.516206895					1.557783076	1.61718523	2.115633924					1.607475517	1.568880809	1.50348694	1.609566585	1.626793713
66					1.843794325			2.067321887		1.639795511					2.133264149					1.500850424	2.538967314	1.563178172					1.699245623	1.556129846	2.201230078	1.575001715	1.539090116
67					1.935022968			1.777193853		1.8183817					2.175067426					1.522660007	1.564731824	1.828224966					2.153260216	1.605913479	1.67529777	1.700601104	1.543522531
68					1.591784922			1.513792521		1.576668547					1.571876417					1.511553088	1.66388657	2.080181649					2.225520424	1.629395933	1.548180906	2.175503811	1.542430781
69					1.847216814			1.674432746		1.675519014					1.591925417					1.635368815	1.502627059	1.559166492					1.544321659	1.668420993	2.380470993	1.77444806	1.597132212
70					1.871344126			1.571938853		2.056235743					2.629639477					1.884848023	1.981611367	17.80357058					1.561781801	1.555618695	1.509301073	2.216156909	1.836679088
71					2.02566538			1.701558724		1.985797651					2.448697351					1.582919173	2.595593409	1.981721866					1.524480011	1.559630638	1.750298602	1.87292866	1.741391465
72					4.692018119			2.075043493		1.763359571					1.576092028					1.559040565	1.531782093	1.855896433					1.591404651	1.585871029	1.605633229	1.510836927	1.771635671
73					1.92403602			1.6448781		2.135767471					2.806459475					2.639489771	1.695070347	2.134330875					1.519931695	1.549312426	1.757160605	1.503104869	1.980387529
74					1.821286547			1.639181241		1.562771303					2.477832571					3.837293592	1.756817518	1.537228221					1.547031646	1.607739051	1.601256013	1.541335135	1.93605023
75					4.078319346			1.641095956		3.230186518					2.128387147					2.459100105	1.681018997	1.869046554					1.744143976	1.563606292	1.68365766	1.728431724	1.532651485
76					1.84602116			2.173296512		1.674980991					1.882384513					1.723754634		2.277695713					1.72160204	2.016234894	1.633132844	1.541195077	1.873938784
77					1.825929727			1.86461675		1.686531731					2.874126003					2.490228054		1.643859873					1.524642468	1.724550705	1.711153213	1.722801831	1.910953383
78					1.534400993			1.624452219		1.56507893					1.601885657					1.845613891		2.266953185					2.35364471	1.972003378	1.625108322	1.517536832	1.981336651
79					1.62041917			2.613858509		1.608537028					2.100455848					1.620108279		1.71286296					1.607188275	1.781301548	1.683410549	2.021493	1.901182986
80					1.676933384			1.676902458		1.923643817					2.256005229					2.307748595		2.169147405					2.037925431	1.869162691	1.589177219	1.595783657	2.024672758
81					1.68929088			1.608325092		2.22252105					2.794853928					2.207674688		1.597852725					1.530732931	1.843097364	1.699169639	2.028793167	2.02022785
82					5.913574872			1.793588683		2.321891004					2.001456955					2.380868653		1.814551651					1.636039221	1.591882247	1.80258819	3.649344975	2.078976605
83					2.175943465			1.69657657		1.794907575					4.248135108					5.445521325		1.569367542					1.695071862	1.681298526	1.572110417	1.503079025	1.755906392
84					1.571575571			1.748212404		1.945588219					5.386014177					2.635724091		1.996143758					1.513758929	1.624731267	2.022983632	1.731096632	1.8970316
85					2.030219914			1.722269229		1.543518956					1.587380736					2.898144469		1.849064602					1.568453948	1.605102036	9.405154455	6.402400665	2.121918394
86					1.673105221			1.740821919		1.558587357					1.5832894					1.537799468		1.69906032					1.925110388	1.669104338	2.421332441	1.512137285	1.721940193
87					1.511475277			2.020294813		1.761192378					2.264858797					1.836196103		2.136300981					2.452368997	1.550215606	2.056734674	1.554272866	1.632241386
88					2.389896719			2.103621525		1.515177057					2.534654782					1.767374002		2.768196941					2.385419631	1.828901315	1.635251807	1.609275657	1.680219653
89					2.418913843			1.866329868		2.044751893					2.101618311					1.509608062		2.689693136					2.080217335	1.622199407	1.733214632		1.759012165
90					6.810817415			1.665162207		2.342968591					1.574668079					2.671632112		1.769728644					1.750856498	1.658540827	1.501976886		10.39021652
91					1.691862868			1.941889252		1.650154838					2.358877978					1.757966844		1.625949289					1.772579922	1.921715205	2.047027492		1.794128464
92					1.690245694			1.671719764		1.639012088					1.719071539					2.483282268		1.576288416					1.591938244	1.718730925	1.543405959		1.834130835
93					2.213183309			1.604836351		1.982930972					1.815931335					1.872005679		2.037706364					1.614487955	1.612757148	1.669671152		1.644377948
94					2.250418852			1.54465644		1.572712857					2.147970887					1.519674883		1.64925046					2.175469207	3.062259723	1.532399078		1.764375842
95					5.43488132			1.673261631		1.940535053					1.600393335					2.033157339		2.096529648					1.663867231	1.797646299	1.776521555		1.651582255
96					1.503046942			1.50792518		1.559959527					2.191386151					1.922704343		1.669654393					2.227245368	1.635414947	1.939427842		1.939980962
97					2.689427254			1.855824354		1.512990783					2.085958967					1.686734079		2.07218568					1.856468757	2.340944038	1.517480232		1.59038192
98					1.599817765			4.635516939		1.537558869					2.273312987					2.626417626		1.693276406					1.742568523	1.684252405	1.800540657		1.971560788
99					4.030002916			2.592404818		1.929234186					3.077907759					1.695036243		1.505656838					1.662529442	2.128122828	1.556520378		4.41878381
